video_name,video_path,label
01_02__exit_phone_room__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__exit_phone_room__YVGY8LOK.mp4,0
01_02__hugging_happy__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__hugging_happy__YVGY8LOK.mp4,0
01_02__meeting_serious__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__meeting_serious__YVGY8LOK.mp4,0
01_02__outside_talking_still_laughing__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__outside_talking_still_laughing__YVGY8LOK.mp4,0
01_02__secret_conversation__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__secret_conversation__YVGY8LOK.mp4,0
01_02__talking_against_wall__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__talking_against_wall__YVGY8LOK.mp4,0
01_02__talking_angry_couch__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__talking_angry_couch__YVGY8LOK.mp4,0
01_02__walking_and_outside_surprised__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__walking_and_outside_surprised__YVGY8LOK.mp4,0
01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,0
01_02__walking_outside_cafe_disgusted__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__walking_outside_cafe_disgusted__YVGY8LOK.mp4,0
01_02__walk_down_hall_angry__YVGY8LOK.mp4,D:/2024/4-1/fakebusters/data/ff_data/manipulated_sequences/01_02__walk_down_hall_angry__YVGY8LOK.mp4,0
